GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gr-backend,dev.grbackend.request.model,GameRequest,0,91,0,2,0,15,0,4,0,3
gr-backend,dev.grbackend.response.model,GamesResponse,9,11,0,0,3,3,3,2,3,2
gr-backend,dev.grbackend.utils,Helper,9,48,1,3,2,7,2,2,1,1
gr-backend,dev.grbackend.controllers,GameController,0,107,0,10,0,23,0,12,0,7
gr-backend,dev.grbackend.controllers,ReviewController,54,3,6,0,9,1,6,1,3,1
gr-backend,dev.grbackend.controllers,ReactionController,0,69,0,6,0,13,0,8,0,5
gr-backend,dev.grbackend.controllers,UserController,0,60,0,6,0,13,0,7,0,4
gr-backend,dev.grbackend,GrBackendApplication,5,22,0,0,2,7,1,3,1,3
gr-backend,dev.grbackend.models,User,16,51,0,0,8,21,4,8,4,8
gr-backend,dev.grbackend.models,Review,38,3,0,0,16,1,11,1,11,1
gr-backend,dev.grbackend.models,Platform,3,6,0,0,1,2,1,2,1,2
gr-backend,dev.grbackend.models,Reaction,0,42,0,0,0,16,0,7,0,7
gr-backend,dev.grbackend.models,Store,3,3,0,0,1,1,1,1,1,1
gr-backend,dev.grbackend.models,Game,49,91,7,9,13,18,13,10,9,6
gr-backend,dev.grbackend.models,Store.StoreElem,6,0,0,0,2,0,2,0,2,0
gr-backend,dev.grbackend.models,Genre,0,6,0,0,0,2,0,2,0,2
gr-backend,dev.grbackend.models,Platform.PlatformElem,0,6,0,0,0,2,0,2,0,2
gr-backend,dev.grbackend.process,LoadData,0,12,0,0,0,4,0,2,0,2
gr-backend,dev.grbackend.services,GameService,18,138,2,14,2,27,3,13,1,7
gr-backend,dev.grbackend.services,ReactionService,5,69,1,1,2,16,1,7,0,7
gr-backend,dev.grbackend.services,UserService,0,47,1,5,0,14,1,6,0,4
gr-backend,dev.grbackend.services,GameMemory,24,68,0,0,4,17,4,10,4,10
gr-backend,dev.grbackend.services,ReviewService,16,3,0,0,3,1,3,1,3,1
